# Crypto Forecast Export - BTC
# Generated: 2025-07-13T17:11:33.396Z
# Forecast Days: 10
# Historical Days: 60
# Indicators Used: EMA, BOLLINGER, MACD, VWAP, ICHIMOKU, RSI, PARABOLIC_SAR, SMA, STOCHASTIC, ADX
# Average Confidence: 55.6%
# Expected Change: -2.20%

Day,High,Low,Average,Confidence,Indicator
1,118654.87,116964.10,118321.24,78.4%,MERGED_AVERAGE
2,118520.85,116634.43,118004.67,72.0%,MERGED_AVERAGE
3,118373.39,116303.88,117687.17,66.1%,MERGED_AVERAGE
4,118225.22,115983.34,117379.70,60.7%,MERGED_AVERAGE
5,118085.27,115680.18,117089.70,55.7%,MERGED_AVERAGE
6,117959.59,115399.12,116821.91,51.3%,MERGED_AVERAGE
7,117852.05,115142.89,116579.09,47.4%,MERGED_AVERAGE
8,117764.95,114950.55,116362.55,44.0%,MERGED_AVERAGE
9,117636.03,114817.90,116172.60,41.1%,MERGED_AVERAGE
10,117486.07,114706.86,116008.83,38.9%,MERGED_AVERAGE
